c_TipoDoc;c_NumeroD;d_Fecha;c_CodClie;c_CodArt;c_Descri;n_Cantidad;n_Precio;n_CostoAct
FAC;000046;12/12/2025;C-11;P-001;PRODUCTO RENTABLE;8;180,00;95,00
FAC;000047;12/12/2025;C-12;P-003;PRODUCTO CON MARGEN BAJO;9;105,00;100,00
FAC;000048;12/12/2025;C-13;P-004;PRODUCTO POR AGOTARSE;20;160,00;105,00
FAC;000049;12/12/2025;C-14;P-006;PRODUCTO ESTACIONAL DETENIDO;6;210,00;140,00
FAC;000050;13/12/2025;C-15;P-001;PRODUCTO RENTABLE;3;180,00;95,00
FAC;000051;13/12/2025;C-16;P-003;PRODUCTO CON MARGEN BAJO;5;105,00;100,00
FAC;000052;13/12/2025;C-17;P-004;PRODUCTO POR AGOTARSE;18;160,00;105,00
FAC;000053;13/12/2025;C-18;P-006;PRODUCTO ESTACIONAL DETENIDO;2;210,00;140,00
FAC;000054;14/12/2025;C-01;P-001;PRODUCTO RENTABLE;2;180,00;95,00
FAC;000055;14/12/2025;C-02;P-002;PRODUCTO SOBREABASTECIDO;1;250,00;170,00
FAC;000056;14/12/2025;C-03;P-003;PRODUCTO CON MARGEN BAJO;4;105,00;100,00
FAC;000057;14/12/2025;C-04;P-004;PRODUCTO POR AGOTARSE;16;160,00;105,00
FAC;000058;14/12/2025;C-05;P-006;PRODUCTO ESTACIONAL DETENIDO;1;210,00;140,00
FAC;000059;15/12/2025;C-06;P-001;PRODUCTO RENTABLE;4;180,00;95,00
FAC;000060;15/12/2025;C-07;P-002;PRODUCTO SOBREABASTECIDO;2;250,00;170,00
N/C;000061;15/12/2025;C-08;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000062;15/12/2025;C-09;P-004;PRODUCTO POR AGOTARSE;5;160,00;105,00
FAC;000063;15/12/2025;C-10;P-006;PRODUCTO ESTACIONAL DETENIDO;3;210,00;140,00
FAC;000064;16/12/2025;C-11;P-001;PRODUCTO RENTABLE;5;180,00;95,00
FAC;000065;16/12/2025;C-12;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000066;16/12/2025;C-13;P-004;PRODUCTO POR AGOTARSE;6;160,00;105,00
FAC;000067;16/12/2025;C-14;P-006;PRODUCTO ESTACIONAL DETENIDO;4;210,00;140,00
FAC;000068;17/12/2025;C-15;P-001;PRODUCTO RENTABLE;5;180,00;95,00
FAC;000069;17/12/2025;C-16;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000070;17/12/2025;C-17;P-004;PRODUCTO POR AGOTARSE;7;160,00;105,00
FAC;000071;17/12/2025;C-18;P-006;PRODUCTO ESTACIONAL DETENIDO;4;210,00;140,00
FAC;000072;18/12/2025;C-01;P-001;PRODUCTO RENTABLE;6;180,00;95,00
FAC;000073;18/12/2025;C-02;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000074;18/12/2025;C-03;P-004;PRODUCTO POR AGOTARSE;8;160,00;105,00
FAC;000075;18/12/2025;C-04;P-006;PRODUCTO ESTACIONAL DETENIDO;5;210,00;140,00
FAC;000076;19/12/2025;C-05;P-001;PRODUCTO RENTABLE;8;180,00;95,00
FAC;000077;19/12/2025;C-06;P-003;PRODUCTO CON MARGEN BAJO;9;105,00;100,00
FAC;000078;19/12/2025;C-07;P-004;PRODUCTO POR AGOTARSE;10;160,00;105,00
FAC;000079;19/12/2025;C-08;P-006;PRODUCTO ESTACIONAL DETENIDO;6;210,00;140,00
FAC;000080;20/12/2025;C-09;P-001;PRODUCTO RENTABLE;10;180,00;95,00
FAC;000081;20/12/2025;C-10;P-003;PRODUCTO CON MARGEN BAJO;5;105,00;100,00
FAC;000082;20/12/2025;C-11;P-004;PRODUCTO POR AGOTARSE;8;160,00;105,00
FAC;000083;20/12/2025;C-12;P-006;PRODUCTO ESTACIONAL DETENIDO;2;210,00;140,00
FAC;000084;21/12/2025;C-13;P-001;PRODUCTO RENTABLE;2;180,00;95,00
FAC;000085;21/12/2025;C-14;P-003;PRODUCTO CON MARGEN BAJO;4;105,00;100,00
FAC;000086;21/12/2025;C-15;P-004;PRODUCTO POR AGOTARSE;6;160,00;105,00
FAC;000087;21/12/2025;C-16;P-006;PRODUCTO ESTACIONAL DETENIDO;1;210,00;140,00
FAC;000088;22/12/2025;C-17;P-001;PRODUCTO RENTABLE;4;180,00;95,00
FAC;000089;22/12/2025;C-18;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000090;22/12/2025;C-01;P-004;PRODUCTO POR AGOTARSE;5;160,00;105,00
FAC;000091;22/12/2025;C-02;P-006;PRODUCTO ESTACIONAL DETENIDO;3;210,00;140,00
FAC;000092;23/12/2025;C-03;P-001;PRODUCTO RENTABLE;5;180,00;95,00
FAC;000093;23/12/2025;C-04;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000094;23/12/2025;C-05;P-004;PRODUCTO POR AGOTARSE;6;160,00;105,00
FAC;000095;23/12/2025;C-06;P-006;PRODUCTO ESTACIONAL DETENIDO;4;210,00;140,00
FAC;000096;24/12/2025;C-07;P-001;PRODUCTO RENTABLE;5;180,00;95,00
FAC;000097;24/12/2025;C-08;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
PRE;000098;24/12/2025;C-09;P-004;PRODUCTO POR AGOTARSE;7;160,00;105,00
FAC;000099;24/12/2025;C-10;P-006;PRODUCTO ESTACIONAL DETENIDO;4;210,00;140,00
FAC;000100;25/12/2025;C-11;P-001;PRODUCTO RENTABLE;6;180,00;95,00
FAC;000101;25/12/2025;C-12;P-003;PRODUCTO CON MARGEN BAJO;9;105,00;100,00
FAC;000102;25/12/2025;C-13;P-004;PRODUCTO POR AGOTARSE;8;160,00;105,00
FAC;000103;25/12/2025;C-14;P-006;PRODUCTO ESTACIONAL DETENIDO;5;210,00;140,00
FAC;000104;26/12/2025;C-15;P-001;PRODUCTO RENTABLE;8;180,00;95,00
FAC;000105;26/12/2025;C-16;P-003;PRODUCTO CON MARGEN BAJO;9;105,00;100,00
FAC;000106;26/12/2025;C-17;P-004;PRODUCTO POR AGOTARSE;10;160,00;105,00
FAC;000107;26/12/2025;C-18;P-006;PRODUCTO ESTACIONAL DETENIDO;6;210,00;140,00
FAC;000108;27/12/2025;C-01;P-001;PRODUCTO RENTABLE;3;180,00;95,00
FAC;000109;27/12/2025;C-02;P-002;PRODUCTO SOBREABASTECIDO;1;250,00;170,00
FAC;000110;27/12/2025;C-03;P-003;PRODUCTO CON MARGEN BAJO;5;105,00;100,00
FAC;000111;27/12/2025;C-04;P-004;PRODUCTO POR AGOTARSE;8;160,00;105,00
FAC;000112;27/12/2025;C-05;P-006;PRODUCTO ESTACIONAL DETENIDO;2;210,00;140,00
FAC;000113;28/12/2025;C-06;P-001;PRODUCTO RENTABLE;2;180,00;95,00
FAC;000114;28/12/2025;C-07;P-003;PRODUCTO CON MARGEN BAJO;4;105,00;100,00
FAC;000115;28/12/2025;C-08;P-004;PRODUCTO POR AGOTARSE;6;160,00;105,00
FAC;000116;28/12/2025;C-09;P-006;PRODUCTO ESTACIONAL DETENIDO;1;210,00;140,00
FAC;000117;29/12/2025;C-10;P-001;PRODUCTO RENTABLE;4;180,00;95,00
FAC;000118;29/12/2025;C-11;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000119;29/12/2025;C-12;P-004;PRODUCTO POR AGOTARSE;5;160,00;105,00
FAC;000120;29/12/2025;C-13;P-006;PRODUCTO ESTACIONAL DETENIDO;3;210,00;140,00
N/C;000121;30/12/2025;C-14;P-001;PRODUCTO RENTABLE;5;180,00;95,00
FAC;000122;30/12/2025;C-15;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000123;30/12/2025;C-16;P-004;PRODUCTO POR AGOTARSE;6;160,00;105,00
FAC;000124;30/12/2025;C-17;P-006;PRODUCTO ESTACIONAL DETENIDO;4;210,00;140,00
FAC;000125;31/12/2025;C-18;P-001;PRODUCTO RENTABLE;5;180,00;95,00
FAC;000126;31/12/2025;C-01;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000127;31/12/2025;C-02;P-004;PRODUCTO POR AGOTARSE;7;160,00;105,00
FAC;000128;31/12/2025;C-03;P-006;PRODUCTO ESTACIONAL DETENIDO;4;210,00;140,00
FAC;000129;01/01/2026;C-04;P-001;PRODUCTO RENTABLE;6;180,00;95,00
FAC;000130;01/01/2026;C-05;P-002;PRODUCTO SOBREABASTECIDO;2;250,00;170,00
FAC;000131;01/01/2026;C-06;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000132;01/01/2026;C-07;P-004;PRODUCTO POR AGOTARSE;8;160,00;105,00
FAC;000133;01/01/2026;C-08;P-006;PRODUCTO ESTACIONAL DETENIDO;5;210,00;140,00
FAC;000134;02/01/2026;C-09;P-001;PRODUCTO RENTABLE;8;180,00;95,00
FAC;000135;02/01/2026;C-10;P-003;PRODUCTO CON MARGEN BAJO;9;105,00;100,00
FAC;000136;02/01/2026;C-11;P-004;PRODUCTO POR AGOTARSE;10;160,00;105,00
FAC;000137;02/01/2026;C-12;P-006;PRODUCTO ESTACIONAL DETENIDO;6;210,00;140,00
FAC;000138;03/01/2026;C-13;P-001;PRODUCTO RENTABLE;3;180,00;95,00
FAC;000139;03/01/2026;C-14;P-003;PRODUCTO CON MARGEN BAJO;5;105,00;100,00
FAC;000140;03/01/2026;C-15;P-004;PRODUCTO POR AGOTARSE;8;160,00;105,00
FAC;000141;03/01/2026;C-16;P-006;PRODUCTO ESTACIONAL DETENIDO;2;210,00;140,00
FAC;000142;04/01/2026;C-17;P-001;PRODUCTO RENTABLE;2;180,00;95,00
FAC;000143;04/01/2026;C-18;P-003;PRODUCTO CON MARGEN BAJO;4;105,00;100,00
FAC;000144;04/01/2026;C-01;P-004;PRODUCTO POR AGOTARSE;6;160,00;105,00
FAC;000145;04/01/2026;C-02;P-006;PRODUCTO ESTACIONAL DETENIDO;1;210,00;140,00
FAC;000146;05/01/2026;C-03;P-001;PRODUCTO RENTABLE;11;180,00;95,00
FAC;000147;05/01/2026;C-04;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000148;05/01/2026;C-05;P-004;PRODUCTO POR AGOTARSE;6;160,00;105,00
FAC;000149;05/01/2026;C-06;P-006;PRODUCTO ESTACIONAL DETENIDO;3;210,00;140,00
FAC;000150;06/01/2026;C-07;P-001;PRODUCTO RENTABLE;5;180,00;95,00
FAC;000151;06/01/2026;C-08;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000152;06/01/2026;C-09;P-004;PRODUCTO POR AGOTARSE;7;160,00;105,00
FAC;000153;06/01/2026;C-10;P-006;PRODUCTO ESTACIONAL DETENIDO;4;210,00;140,00
FAC;000154;07/01/2026;C-11;P-001;PRODUCTO RENTABLE;5;180,00;95,00
FAC;000155;07/01/2026;C-12;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000156;07/01/2026;C-13;P-004;PRODUCTO POR AGOTARSE;8;160,00;105,00
FAC;000157;07/01/2026;C-14;P-006;PRODUCTO ESTACIONAL DETENIDO;4;210,00;140,00
FAC;000158;08/01/2026;C-15;P-001;PRODUCTO RENTABLE;6;180,00;95,00
FAC;000159;08/01/2026;C-16;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000160;08/01/2026;C-17;P-004;PRODUCTO POR AGOTARSE;9;160,00;105,00
FAC;000161;08/01/2026;C-18;P-006;PRODUCTO ESTACIONAL DETENIDO;5;210,00;140,00
FAC;000162;09/01/2026;C-01;P-001;PRODUCTO RENTABLE;8;180,00;95,00
FAC;000163;09/01/2026;C-02;P-002;PRODUCTO SOBREABASTECIDO;1;250,00;170,00
FAC;000164;09/01/2026;C-03;P-003;PRODUCTO CON MARGEN BAJO;9;105,00;100,00
FAC;000165;09/01/2026;C-04;P-004;PRODUCTO POR AGOTARSE;11;160,00;105,00
FAC;000166;09/01/2026;C-05;P-006;PRODUCTO ESTACIONAL DETENIDO;6;210,00;140,00
FAC;000167;10/01/2026;C-06;P-001;PRODUCTO RENTABLE;3;180,00;95,00
FAC;000168;10/01/2026;C-07;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000169;10/01/2026;C-08;P-004;PRODUCTO POR AGOTARSE;9;160,00;105,00
FAC;000170;10/01/2026;C-09;P-006;PRODUCTO ESTACIONAL DETENIDO;2;210,00;140,00
FAC;000171;11/01/2026;C-10;P-001;PRODUCTO RENTABLE;2;180,00;95,00
FAC;000172;11/01/2026;C-11;P-003;PRODUCTO CON MARGEN BAJO;4;105,00;100,00
FAC;000173;11/01/2026;C-12;P-004;PRODUCTO POR AGOTARSE;7;160,00;105,00
FAC;000174;11/01/2026;C-13;P-006;PRODUCTO ESTACIONAL DETENIDO;1;210,00;140,00
FAC;000175;12/01/2026;C-14;P-001;PRODUCTO RENTABLE;4;180,00;95,00
FAC;000176;12/01/2026;C-15;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000177;12/01/2026;C-16;P-004;PRODUCTO POR AGOTARSE;16;160,00;105,00
FAC;000178;12/01/2026;C-17;P-006;PRODUCTO ESTACIONAL DETENIDO;3;210,00;140,00
FAC;000179;13/01/2026;C-18;P-001;PRODUCTO RENTABLE;5;180,00;95,00
FAC;000180;13/01/2026;C-01;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
N/C;000181;13/01/2026;C-02;P-004;PRODUCTO POR AGOTARSE;17;160,00;105,00
FAC;000182;13/01/2026;C-03;P-006;PRODUCTO ESTACIONAL DETENIDO;4;210,00;140,00
FAC;000183;14/01/2026;C-04;P-001;PRODUCTO RENTABLE;5;180,00;95,00
FAC;000184;14/01/2026;C-05;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000185;14/01/2026;C-06;P-004;PRODUCTO POR AGOTARSE;18;160,00;105,00
FAC;000186;14/01/2026;C-07;P-006;PRODUCTO ESTACIONAL DETENIDO;4;210,00;140,00
FAC;000187;15/01/2026;C-08;P-001;PRODUCTO RENTABLE;6;180,00;95,00
FAC;000188;15/01/2026;C-09;P-002;PRODUCTO SOBREABASTECIDO;2;250,00;170,00
FAC;000189;15/01/2026;C-10;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000190;15/01/2026;C-11;P-004;PRODUCTO POR AGOTARSE;9;160,00;105,00
FAC;000191;15/01/2026;C-12;P-006;PRODUCTO ESTACIONAL DETENIDO;5;210,00;140,00
FAC;000192;16/01/2026;C-13;P-001;PRODUCTO RENTABLE;8;180,00;95,00
FAC;000193;16/01/2026;C-14;P-003;PRODUCTO CON MARGEN BAJO;9;105,00;100,00
FAC;000194;16/01/2026;C-15;P-004;PRODUCTO POR AGOTARSE;11;160,00;105,00
PRE;000195;16/01/2026;C-16;P-006;PRODUCTO ESTACIONAL DETENIDO;6;210,00;140,00
FAC;000196;17/01/2026;C-17;P-001;PRODUCTO RENTABLE;3;180,00;95,00
FAC;000197;17/01/2026;C-18;P-003;PRODUCTO CON MARGEN BAJO;5;105,00;100,00
FAC;000198;17/01/2026;C-01;P-004;PRODUCTO POR AGOTARSE;9;160,00;105,00
FAC;000199;17/01/2026;C-02;P-006;PRODUCTO ESTACIONAL DETENIDO;2;210,00;140,00
FAC;000200;18/01/2026;C-03;P-001;PRODUCTO RENTABLE;2;180,00;95,00
FAC;000201;18/01/2026;C-04;P-003;PRODUCTO CON MARGEN BAJO;4;105,00;100,00
FAC;000202;18/01/2026;C-05;P-004;PRODUCTO POR AGOTARSE;7;160,00;105,00
FAC;000203;18/01/2026;C-06;P-006;PRODUCTO ESTACIONAL DETENIDO;1;210,00;140,00
FAC;000204;19/01/2026;C-07;P-001;PRODUCTO RENTABLE;4;180,00;95,00
FAC;000205;19/01/2026;C-08;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000206;19/01/2026;C-09;P-004;PRODUCTO POR AGOTARSE;6;160,00;105,00
FAC;000207;19/01/2026;C-10;P-006;PRODUCTO ESTACIONAL DETENIDO;3;210,00;140,00
FAC;000208;20/01/2026;C-11;P-001;PRODUCTO RENTABLE;12;180,00;95,00
FAC;000209;20/01/2026;C-12;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000210;20/01/2026;C-13;P-004;PRODUCTO POR AGOTARSE;7;160,00;105,00
FAC;000211;20/01/2026;C-14;P-006;PRODUCTO ESTACIONAL DETENIDO;4;210,00;140,00
FAC;000212;21/01/2026;C-15;P-001;PRODUCTO RENTABLE;5;180,00;95,00
FAC;000213;21/01/2026;C-16;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000214;21/01/2026;C-17;P-004;PRODUCTO POR AGOTARSE;8;160,00;105,00
FAC;000215;21/01/2026;C-18;P-006;PRODUCTO ESTACIONAL DETENIDO;4;210,00;140,00
FAC;000216;22/01/2026;C-01;P-001;PRODUCTO RENTABLE;6;180,00;95,00
FAC;000217;22/01/2026;C-02;P-002;PRODUCTO SOBREABASTECIDO;1;250,00;170,00
FAC;000218;22/01/2026;C-03;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000219;22/01/2026;C-04;P-004;PRODUCTO POR AGOTARSE;9;160,00;105,00
FAC;000220;22/01/2026;C-05;P-006;PRODUCTO ESTACIONAL DETENIDO;5;210,00;140,00
FAC;000221;23/01/2026;C-06;P-001;PRODUCTO RENTABLE;8;180,00;95,00
FAC;000222;23/01/2026;C-07;P-003;PRODUCTO CON MARGEN BAJO;9;105,00;100,00
FAC;000223;23/01/2026;C-08;P-004;PRODUCTO POR AGOTARSE;11;160,00;105,00
FAC;000224;23/01/2026;C-09;P-006;PRODUCTO ESTACIONAL DETENIDO;6;210,00;140,00
FAC;000225;24/01/2026;C-10;P-001;PRODUCTO RENTABLE;3;180,00;95,00
FAC;000226;24/01/2026;C-11;P-003;PRODUCTO CON MARGEN BAJO;5;105,00;100,00
FAC;000227;24/01/2026;C-12;P-004;PRODUCTO POR AGOTARSE;9;160,00;105,00
FAC;000228;24/01/2026;C-13;P-006;PRODUCTO ESTACIONAL DETENIDO;2;210,00;140,00
FAC;000229;25/01/2026;C-14;P-001;PRODUCTO RENTABLE;2;180,00;95,00
FAC;000230;25/01/2026;C-15;P-003;PRODUCTO CON MARGEN BAJO;6;105,00;100,00
FAC;000231;25/01/2026;C-16;P-004;PRODUCTO POR AGOTARSE;7;160,00;105,00
FAC;000232;25/01/2026;C-17;P-006;PRODUCTO ESTACIONAL DETENIDO;1;210,00;140,00
FAC;000233;26/01/2026;C-18;P-001;PRODUCTO RENTABLE;4;180,00;95,00
FAC;000234;26/01/2026;C-01;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000235;26/01/2026;C-02;P-004;PRODUCTO POR AGOTARSE;6;160,00;105,00
FAC;000236;26/01/2026;C-03;P-006;PRODUCTO ESTACIONAL DETENIDO;3;210,00;140,00
FAC;000237;27/01/2026;C-04;P-001;PRODUCTO RENTABLE;5;180,00;95,00
FAC;000238;27/01/2026;C-05;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000239;27/01/2026;C-06;P-004;PRODUCTO POR AGOTARSE;7;160,00;105,00
FAC;000240;27/01/2026;C-07;P-006;PRODUCTO ESTACIONAL DETENIDO;4;210,00;140,00
N/C;000241;28/01/2026;C-08;P-001;PRODUCTO RENTABLE;5;180,00;95,00
FAC;000242;28/01/2026;C-09;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000243;28/01/2026;C-10;P-004;PRODUCTO POR AGOTARSE;8;160,00;105,00
FAC;000244;28/01/2026;C-11;P-006;PRODUCTO ESTACIONAL DETENIDO;4;210,00;140,00
FAC;000245;29/01/2026;C-12;P-001;PRODUCTO RENTABLE;6;180,00;95,00
FAC;000246;29/01/2026;C-13;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000247;29/01/2026;C-14;P-004;PRODUCTO POR AGOTARSE;9;160,00;105,00
FAC;000248;29/01/2026;C-15;P-006;PRODUCTO ESTACIONAL DETENIDO;5;210,00;140,00
FAC;000249;30/01/2026;C-16;P-001;PRODUCTO RENTABLE;8;180,00;95,00
FAC;000250;30/01/2026;C-17;P-003;PRODUCTO CON MARGEN BAJO;9;105,00;100,00
FAC;000251;30/01/2026;C-18;P-004;PRODUCTO POR AGOTARSE;11;160,00;105,00
FAC;000252;30/01/2026;C-01;P-006;PRODUCTO ESTACIONAL DETENIDO;6;210,00;140,00
FAC;000253;31/01/2026;C-02;P-001;PRODUCTO RENTABLE;3;180,00;95,00
FAC;000254;31/01/2026;C-03;P-003;PRODUCTO CON MARGEN BAJO;5;105,00;100,00
FAC;000255;31/01/2026;C-04;P-004;PRODUCTO POR AGOTARSE;9;160,00;105,00
FAC;000256;31/01/2026;C-05;P-006;PRODUCTO ESTACIONAL DETENIDO;2;210,00;140,00
FAC;000257;01/02/2026;C-06;P-001;PRODUCTO RENTABLE;2;180,00;95,00
FAC;000258;01/02/2026;C-07;P-002;PRODUCTO SOBREABASTECIDO;2;250,00;170,00
FAC;000259;01/02/2026;C-08;P-003;PRODUCTO CON MARGEN BAJO;4;105,00;100,00
FAC;000260;01/02/2026;C-09;P-004;PRODUCTO POR AGOTARSE;7;160,00;105,00
FAC;000261;01/02/2026;C-10;P-006;PRODUCTO ESTACIONAL DETENIDO;1;210,00;140,00
FAC;000262;02/02/2026;C-11;P-001;PRODUCTO RENTABLE;4;180,00;95,00
FAC;000263;02/02/2026;C-12;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000264;02/02/2026;C-13;P-004;PRODUCTO POR AGOTARSE;6;160,00;105,00
FAC;000265;02/02/2026;C-14;P-006;PRODUCTO ESTACIONAL DETENIDO;3;210,00;140,00
FAC;000266;03/02/2026;C-15;P-001;PRODUCTO RENTABLE;5;180,00;95,00
FAC;000267;03/02/2026;C-16;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000268;03/02/2026;C-17;P-004;PRODUCTO POR AGOTARSE;7;160,00;105,00
FAC;000269;03/02/2026;C-18;P-006;PRODUCTO ESTACIONAL DETENIDO;4;210,00;140,00
FAC;000270;04/02/2026;C-01;P-001;PRODUCTO RENTABLE;5;180,00;95,00
FAC;000271;04/02/2026;C-02;P-002;PRODUCTO SOBREABASTECIDO;1;250,00;170,00
FAC;000272;04/02/2026;C-03;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000273;04/02/2026;C-04;P-004;PRODUCTO POR AGOTARSE;8;160,00;105,00
FAC;000274;04/02/2026;C-05;P-006;PRODUCTO ESTACIONAL DETENIDO;4;210,00;140,00
FAC;000275;05/02/2026;C-06;P-001;PRODUCTO RENTABLE;13;180,00;95,00
FAC;000276;05/02/2026;C-07;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000277;05/02/2026;C-08;P-004;PRODUCTO POR AGOTARSE;9;160,00;105,00
