sale_id,sale_date,product_id,product_name,quantity,unit_price,unit_cost,customer_id
V-00187,2026-01-15,P-001,Producto rentable,6,180,95,C-08
V-00188,2026-01-15,P-002,Producto sobreabastecido,2,250,170,C-09
V-00189,2026-01-15,P-003,Producto con margen bajo,7,105,100,C-10
V-00190,2026-01-15,P-004,Producto por agotarse,9,160,105,C-11
V-00191,2026-01-15,P-006,Producto estacional detenido,5,210,140,C-12
V-00192,2026-01-16,P-001,Producto rentable,8,180,95,C-13
V-00193,2026-01-16,P-003,Producto con margen bajo,9,105,100,C-14
V-00194,2026-01-16,P-004,Producto por agotarse,11,160,105,C-15
V-00195,2026-01-16,P-006,Producto estacional detenido,6,210,140,C-16
V-00196,2026-01-17,P-001,Producto rentable,3,180,95,C-17
V-00197,2026-01-17,P-003,Producto con margen bajo,5,105,100,C-18
V-00198,2026-01-17,P-004,Producto por agotarse,9,160,105,C-01
V-00199,2026-01-17,P-006,Producto estacional detenido,2,210,140,C-02
V-00200,2026-01-18,P-001,Producto rentable,2,180,95,C-03
V-00201,2026-01-18,P-003,Producto con margen bajo,4,105,100,C-04
V-00202,2026-01-18,P-004,Producto por agotarse,7,160,105,C-05
V-00203,2026-01-18,P-006,Producto estacional detenido,1,210,140,C-06
V-00204,2026-01-19,P-001,Producto rentable,4,180,95,C-07
V-00205,2026-01-19,P-003,Producto con margen bajo,8,105,100,C-08
V-00206,2026-01-19,P-004,Producto por agotarse,6,160,105,C-09
V-00207,2026-01-19,P-006,Producto estacional detenido,3,210,140,C-10
V-00208,2026-01-20,P-001,Producto rentable,12,180,95,C-11
V-00209,2026-01-20,P-003,Producto con margen bajo,8,105,100,C-12
V-00210,2026-01-20,P-004,Producto por agotarse,7,160,105,C-13
V-00211,2026-01-20,P-006,Producto estacional detenido,4,210,140,C-14
V-00212,2026-01-21,P-001,Producto rentable,5,180,95,C-15
V-00213,2026-01-21,P-003,Producto con margen bajo,7,105,100,C-16
V-00214,2026-01-21,P-004,Producto por agotarse,8,160,105,C-17
V-00215,2026-01-21,P-006,Producto estacional detenido,4,210,140,C-18
V-00216,2026-01-22,P-001,Producto rentable,6,180,95,C-01
V-00217,2026-01-22,P-002,Producto sobreabastecido,1,250,170,C-02
V-00218,2026-01-22,P-003,Producto con margen bajo,7,105,100,C-03
V-00219,2026-01-22,P-004,Producto por agotarse,9,160,105,C-04
V-00220,2026-01-22,P-006,Producto estacional detenido,5,210,140,C-05
V-00221,2026-01-23,P-001,Producto rentable,8,180,95,C-06
V-00222,2026-01-23,P-003,Producto con margen bajo,9,105,100,C-07
V-00223,2026-01-23,P-004,Producto por agotarse,11,160,105,C-08
V-00224,2026-01-23,P-006,Producto estacional detenido,6,210,140,C-09
V-00225,2026-01-24,P-001,Producto rentable,3,180,95,C-10
V-00226,2026-01-24,P-003,Producto con margen bajo,5,105,100,C-11
V-00227,2026-01-24,P-004,Producto por agotarse,9,160,105,C-12
V-00228,2026-01-24,P-006,Producto estacional detenido,2,210,140,C-13
V-00229,2026-01-25,P-001,Producto rentable,2,180,95,C-14
V-00230,2026-01-25,P-003,Producto con margen bajo,6,105,100,C-15
V-00231,2026-01-25,P-004,Producto por agotarse,7,160,105,C-16
V-00232,2026-01-25,P-006,Producto estacional detenido,1,210,140,C-17
V-00233,2026-01-26,P-001,Producto rentable,4,180,95,C-18
V-00234,2026-01-26,P-003,Producto con margen bajo,8,105,100,C-01
V-00235,2026-01-26,P-004,Producto por agotarse,6,160,105,C-02
V-00236,2026-01-26,P-006,Producto estacional detenido,3,210,140,C-03
V-00237,2026-01-27,P-001,Producto rentable,5,180,95,C-04
V-00238,2026-01-27,P-003,Producto con margen bajo,8,105,100,C-05
V-00239,2026-01-27,P-004,Producto por agotarse,7,160,105,C-06
V-00240,2026-01-27,P-006,Producto estacional detenido,4,210,140,C-07
V-00241,2026-01-28,P-001,Producto rentable,5,180,95,C-08
V-00242,2026-01-28,P-003,Producto con margen bajo,7,105,100,C-09
V-00243,2026-01-28,P-004,Producto por agotarse,8,160,105,C-10
V-00244,2026-01-28,P-006,Producto estacional detenido,4,210,140,C-11
V-00245,2026-01-29,P-001,Producto rentable,6,180,95,C-12
V-00246,2026-01-29,P-003,Producto con margen bajo,7,105,100,C-13
V-00247,2026-01-29,P-004,Producto por agotarse,9,160,105,C-14
V-00248,2026-01-29,P-006,Producto estacional detenido,5,210,140,C-15
V-00249,2026-01-30,P-001,Producto rentable,8,180,95,C-16
V-00250,2026-01-30,P-003,Producto con margen bajo,9,105,100,C-17
V-00251,2026-01-30,P-004,Producto por agotarse,11,160,105,C-18
V-00252,2026-01-30,P-006,Producto estacional detenido,6,210,140,C-01
V-00253,2026-01-31,P-001,Producto rentable,3,180,95,C-02
V-00254,2026-01-31,P-003,Producto con margen bajo,5,105,100,C-03
V-00255,2026-01-31,P-004,Producto por agotarse,9,160,105,C-04
V-00256,2026-01-31,P-006,Producto estacional detenido,2,210,140,C-05
V-00257,2026-02-01,P-001,Producto rentable,2,180,95,C-06
V-00258,2026-02-01,P-002,Producto sobreabastecido,2,250,170,C-07
V-00259,2026-02-01,P-003,Producto con margen bajo,4,105,100,C-08
V-00260,2026-02-01,P-004,Producto por agotarse,7,160,105,C-09
V-00261,2026-02-01,P-006,Producto estacional detenido,1,210,140,C-10
V-00262,2026-02-02,P-001,Producto rentable,4,180,95,C-11
V-00263,2026-02-02,P-003,Producto con margen bajo,8,105,100,C-12
V-00264,2026-02-02,P-004,Producto por agotarse,6,160,105,C-13
V-00265,2026-02-02,P-006,Producto estacional detenido,3,210,140,C-14
V-00266,2026-02-03,P-001,Producto rentable,5,180,95,C-15
V-00267,2026-02-03,P-003,Producto con margen bajo,8,105,100,C-16
V-00268,2026-02-03,P-004,Producto por agotarse,7,160,105,C-17
V-00269,2026-02-03,P-006,Producto estacional detenido,4,210,140,C-18
V-00270,2026-02-04,P-001,Producto rentable,5,180,95,C-01
V-00271,2026-02-04,P-002,Producto sobreabastecido,1,250,170,C-02
V-00272,2026-02-04,P-003,Producto con margen bajo,7,105,100,C-03
V-00273,2026-02-04,P-004,Producto por agotarse,8,160,105,C-04
V-00274,2026-02-04,P-006,Producto estacional detenido,4,210,140,C-05
V-00275,2026-02-05,P-001,Producto rentable,13,180,95,C-06
V-00276,2026-02-05,P-003,Producto con margen bajo,7,105,100,C-07
V-00277,2026-02-05,P-004,Producto por agotarse,9,160,105,C-08
V-00278,2026-02-05,P-006,Producto estacional detenido,5,210,140,C-09
V-00279,2026-02-06,P-001,Producto rentable,8,180,95,C-10
V-00280,2026-02-06,P-003,Producto con margen bajo,9,105,100,C-11
V-00281,2026-02-06,P-004,Producto por agotarse,11,160,105,C-12
V-00282,2026-02-06,P-006,Producto estacional detenido,6,210,140,C-13
V-00283,2026-02-07,P-001,Producto rentable,3,180,95,C-14
V-00284,2026-02-07,P-003,Producto con margen bajo,5,105,100,C-15
V-00285,2026-02-07,P-004,Producto por agotarse,9,160,105,C-16
V-00286,2026-02-07,P-006,Producto estacional detenido,2,210,140,C-17
V-00287,2026-02-08,P-001,Producto rentable,2,180,95,C-18
V-00288,2026-02-08,P-003,Producto con margen bajo,4,105,100,C-01
V-00289,2026-02-08,P-004,Producto por agotarse,7,160,105,C-02
V-00290,2026-02-08,P-006,Producto estacional detenido,1,210,140,C-03
V-00291,2026-02-09,P-001,Producto rentable,5,180,95,C-04
V-00292,2026-02-09,P-003,Producto con margen bajo,8,105,100,C-05
V-00293,2026-02-09,P-004,Producto por agotarse,7,160,105,C-06
V-00294,2026-02-09,P-006,Producto estacional detenido,3,210,140,C-07
V-00295,2026-02-10,P-001,Producto rentable,6,180,95,C-08
V-00296,2026-02-10,P-003,Producto con margen bajo,10,105,100,C-09
V-00297,2026-02-10,P-004,Producto por agotarse,8,160,105,C-10
V-00298,2026-02-10,P-006,Producto estacional detenido,4,210,140,C-11
V-00299,2026-02-11,P-001,Producto rentable,6,180,95,C-12
V-00300,2026-02-11,P-003,Producto con margen bajo,7,105,100,C-13
V-00301,2026-02-11,P-004,Producto por agotarse,9,160,105,C-14
V-00302,2026-02-11,P-006,Producto estacional detenido,4,210,140,C-15
V-00303,2026-02-12,P-001,Producto rentable,7,180,95,C-16
V-00304,2026-02-12,P-003,Producto con margen bajo,7,105,100,C-17
V-00305,2026-02-12,P-004,Producto por agotarse,20,160,105,C-18
V-00306,2026-02-12,P-006,Producto estacional detenido,5,210,140,C-01
V-00307,2026-02-13,P-001,Producto rentable,9,180,95,C-02
V-00308,2026-02-13,P-003,Producto con margen bajo,9,105,100,C-03
V-00309,2026-02-13,P-004,Producto por agotarse,22,160,105,C-04
V-00310,2026-02-13,P-006,Producto estacional detenido,6,210,140,C-05
V-00311,2026-02-14,P-001,Producto rentable,4,180,95,C-06
V-00312,2026-02-14,P-003,Producto con margen bajo,5,105,100,C-07
V-00313,2026-02-14,P-004,Producto por agotarse,20,160,105,C-08
V-00314,2026-02-14,P-006,Producto estacional detenido,2,210,140,C-09
V-00315,2026-02-15,P-001,Producto rentable,3,180,95,C-10
V-00316,2026-02-15,P-002,Producto sobreabastecido,2,250,170,C-11
V-00317,2026-02-15,P-003,Producto con margen bajo,4,105,100,C-12
V-00318,2026-02-15,P-004,Producto por agotarse,8,160,105,C-13
V-00319,2026-02-15,P-006,Producto estacional detenido,1,210,140,C-14
V-00320,2026-02-16,P-001,Producto rentable,5,180,95,C-15
V-00321,2026-02-16,P-003,Producto con margen bajo,8,105,100,C-16
V-00322,2026-02-16,P-004,Producto por agotarse,7,160,105,C-17
V-00323,2026-02-16,P-006,Producto estacional detenido,3,210,140,C-18
V-00324,2026-02-17,P-001,Producto rentable,6,180,95,C-01
V-00325,2026-02-17,P-002,Producto sobreabastecido,1,250,170,C-02
V-00326,2026-02-17,P-003,Producto con margen bajo,8,105,100,C-03
V-00327,2026-02-17,P-004,Producto por agotarse,8,160,105,C-04
V-00328,2026-02-17,P-006,Producto estacional detenido,4,210,140,C-05
V-00329,2026-02-18,P-001,Producto rentable,6,180,95,C-06
V-00330,2026-02-18,P-003,Producto con margen bajo,7,105,100,C-07
V-00331,2026-02-18,P-004,Producto por agotarse,9,160,105,C-08
V-00332,2026-02-18,P-006,Producto estacional detenido,4,210,140,C-09
V-00333,2026-02-19,P-001,Producto rentable,7,180,95,C-10
V-00334,2026-02-19,P-003,Producto con margen bajo,7,105,100,C-11
V-00335,2026-02-19,P-004,Producto por agotarse,10,160,105,C-12
V-00336,2026-02-19,P-006,Producto estacional detenido,5,210,140,C-13
V-00337,2026-02-20,P-001,Producto rentable,16,180,95,C-14
V-00338,2026-02-20,P-003,Producto con margen bajo,9,105,100,C-15
V-00339,2026-02-20,P-004,Producto por agotarse,12,160,105,C-16
V-00340,2026-02-20,P-006,Producto estacional detenido,6,210,140,C-17
V-00341,2026-02-21,P-001,Producto rentable,4,180,95,C-18
V-00342,2026-02-21,P-003,Producto con margen bajo,5,105,100,C-01
V-00343,2026-02-21,P-004,Producto por agotarse,10,160,105,C-02
V-00344,2026-02-21,P-006,Producto estacional detenido,2,210,140,C-03
V-00345,2026-02-22,P-001,Producto rentable,3,180,95,C-04
V-00346,2026-02-22,P-003,Producto con margen bajo,4,105,100,C-05
V-00347,2026-02-22,P-004,Producto por agotarse,8,160,105,C-06
V-00348,2026-02-22,P-006,Producto estacional detenido,1,210,140,C-07
V-00349,2026-02-23,P-001,Producto rentable,5,180,95,C-08
V-00350,2026-02-23,P-003,Producto con margen bajo,8,105,100,C-09
V-00351,2026-02-23,P-004,Producto por agotarse,7,160,105,C-10
V-00352,2026-02-23,P-006,Producto estacional detenido,3,210,140,C-11
V-00353,2026-02-24,P-001,Producto rentable,6,180,95,C-12
V-00354,2026-02-24,P-003,Producto con margen bajo,8,105,100,C-13
V-00355,2026-02-24,P-004,Producto por agotarse,8,160,105,C-14
V-00356,2026-02-24,P-006,Producto estacional detenido,4,210,140,C-15
V-00357,2026-02-25,P-001,Producto rentable,6,180,95,C-16
V-00358,2026-02-25,P-003,Producto con margen bajo,9,105,100,C-17
V-00359,2026-02-25,P-004,Producto por agotarse,9,160,105,C-18
V-00360,2026-02-25,P-006,Producto estacional detenido,4,210,140,C-01
V-00361,2026-02-26,P-001,Producto rentable,7,180,95,C-02
V-00362,2026-02-26,P-003,Producto con margen bajo,7,105,100,C-03
V-00363,2026-02-26,P-004,Producto por agotarse,10,160,105,C-04
V-00364,2026-02-26,P-006,Producto estacional detenido,5,210,140,C-05
V-00365,2026-02-27,P-001,Producto rentable,9,180,95,C-06
V-00366,2026-02-27,P-003,Producto con margen bajo,9,105,100,C-07
V-00367,2026-02-27,P-004,Producto por agotarse,12,160,105,C-08
V-00368,2026-02-27,P-006,Producto estacional detenido,6,210,140,C-09
V-00369,2026-02-28,P-001,Producto rentable,4,180,95,C-10
V-00370,2026-02-28,P-003,Producto con margen bajo,5,105,100,C-11
V-00371,2026-02-28,P-004,Producto por agotarse,10,160,105,C-12
V-00372,2026-02-28,P-006,Producto estacional detenido,2,210,140,C-13
V-00373,2026-03-01,P-001,Producto rentable,3,180,95,C-14
V-00374,2026-03-01,P-002,Producto sobreabastecido,2,250,170,C-15
V-00375,2026-03-01,P-003,Producto con margen bajo,4,105,100,C-16
V-00376,2026-03-01,P-004,Producto por agotarse,8,160,105,C-17
V-00377,2026-03-01,P-006,Producto estacional detenido,1,210,140,C-18
V-00378,2026-03-02,P-001,Producto rentable,5,180,95,C-01
V-00379,2026-03-02,P-002,Producto sobreabastecido,1,250,170,C-02
V-00380,2026-03-02,P-003,Producto con margen bajo,8,105,100,C-03
V-00381,2026-03-02,P-004,Producto por agotarse,7,160,105,C-04
V-00382,2026-03-02,P-006,Producto estacional detenido,3,210,140,C-05
V-00383,2026-03-03,P-001,Producto rentable,6,180,95,C-06
V-00384,2026-03-03,P-003,Producto con margen bajo,8,105,100,C-07
V-00385,2026-03-03,P-004,Producto por agotarse,8,160,105,C-08
V-00386,2026-03-03,P-006,Producto estacional detenido,4,210,140,C-09
V-00387,2026-03-04,P-001,Producto rentable,6,180,95,C-10
V-00388,2026-03-04,P-003,Producto con margen bajo,7,105,100,C-11
V-00389,2026-03-04,P-004,Producto por agotarse,9,160,105,C-12
V-00390,2026-03-05,P-001,Producto rentable,14,180,95,C-13
V-00391,2026-03-05,P-003,Producto con margen bajo,7,105,100,C-14
V-00392,2026-03-05,P-004,Producto por agotarse,10,160,105,C-15
V-00393,2026-03-06,P-001,Producto rentable,9,180,95,C-16
V-00394,2026-03-06,P-003,Producto con margen bajo,9,105,100,C-17
V-00395,2026-03-06,P-004,Producto por agotarse,12,160,105,C-18
V-00396,2026-03-07,P-001,Producto rentable,4,180,95,C-01
V-00397,2026-03-07,P-003,Producto con margen bajo,5,105,100,C-02
